ticker,sector
RELIANCE,Energy
HDFCBANK,Banking
ICICIBANK,Banking
SBIN,Banking
AXISBANK,Banking
KOTAKBANK,Banking
INDUSINDBK,Banking
BANKBARODA,Banking
PNB,Banking
CANBK,Banking
TCS,IT
INFY,IT
HCLTECH,IT
WIPRO,IT
TECHM,IT
LTIM,IT
MARUTI,Auto
M&M,Auto
TATAMOTORS,Auto
EICHERMOT,Auto
HEROMOTOCO,Auto
BAJAJ-AUTO,Auto
SUNPHARMA,Pharma
CIPLA,Pharma
DRREDDY,Pharma
DIVISLAB,Pharma
APOLLOHOSP,Healthcare
TATASTEEL,Metal
JSWSTEEL,Metal
HINDALCO,Metal
COALINDIA,Mining
ONGC,Energy
NTPC,Utilities
POWERGRID,Utilities
ADANIENT,Conglomerate
ADANIPORTS,Infrastructure
LT,Infrastructure
BHARTIARTL,Telecom
ITC,FMCG
HINDUNILVR,FMCG
NESTLEIND,FMCG
TITAN,Consumer
ASIANPAINT,Consumer
ULTRACEMCO,Cement
GRASIM,Diversified
BAJFINANCE,Finance
BAJAJFINSV,Finance
HDFCLIFE,Insurance
SBILIFE,Insurance
SHRIRAMFIN,Finance
